source_path,target_portal,target_path,generated,mdx_risk,status,owner,notes
content/dev/base-de-datos/index.mdx,tecnico,base-de-datos/index.mdx,false,low,ready,Abner Reyes,
content/dev/base-de-datos/migraciones.mdx,tecnico,base-de-datos/migraciones.mdx,false,low,ready,Abner Reyes,
content/dev/base-de-datos/schema-reference/_generated-models.mdx,tecnico,base-de-datos/schema-reference/_generated-models.mdx,true,low,ready,Auto-generated,Contenido generado; actualizar mediante su script de sincronización.
content/dev/base-de-datos/schema-reference/actividades-camporees.mdx,tecnico,base-de-datos/schema-reference/actividades-camporees.mdx,false,low,ready,Abner Reyes,
content/dev/base-de-datos/schema-reference/carpetas-evaluacion.mdx,tecnico,base-de-datos/schema-reference/carpetas-evaluacion.mdx,false,low,ready,Abner Reyes,
content/dev/base-de-datos/schema-reference/clases-honores.mdx,tecnico,base-de-datos/schema-reference/clases-honores.mdx,false,low,ready,Abner Reyes,
content/dev/base-de-datos/schema-reference/clubs.mdx,tecnico,base-de-datos/schema-reference/clubs.mdx,false,low,ready,Abner Reyes,
content/dev/base-de-datos/schema-reference/index.mdx,tecnico,base-de-datos/schema-reference/index.mdx,false,low,ready,Abner Reyes,
content/dev/base-de-datos/schema-reference/inventario-finanzas.mdx,tecnico,base-de-datos/schema-reference/inventario-finanzas.mdx,false,low,ready,Abner Reyes,
content/dev/base-de-datos/schema-reference/investidura-certificaciones.mdx,tecnico,base-de-datos/schema-reference/investidura-certificaciones.mdx,false,low,ready,Abner Reyes,
content/dev/base-de-datos/schema-reference/organizacion.mdx,tecnico,base-de-datos/schema-reference/organizacion.mdx,false,low,ready,Abner Reyes,
content/dev/base-de-datos/schema-reference/rbac.mdx,tecnico,base-de-datos/schema-reference/rbac.mdx,false,low,ready,Abner Reyes,
content/dev/base-de-datos/schema-reference/salud-insurance.mdx,tecnico,base-de-datos/schema-reference/salud-insurance.mdx,false,low,ready,Abner Reyes,
content/dev/base-de-datos/schema-reference/sistema-recursos.mdx,tecnico,base-de-datos/schema-reference/sistema-recursos.mdx,false,low,ready,Abner Reyes,
content/dev/base-de-datos/schema-reference/users-auth.mdx,tecnico,base-de-datos/schema-reference/users-auth.mdx,false,low,ready,Abner Reyes,
content/dev/estandares/coding-standards.mdx,tecnico,estandares/coding-standards.mdx,false,low,ready,Abner Reyes,
content/dev/estandares/data-guidelines.mdx,tecnico,estandares/data-guidelines.mdx,false,low,ready,Abner Reyes,
content/dev/estandares/guia-estructura.mdx,tecnico,estandares/guia-estructura.mdx,false,low,ready,Abner Reyes,
content/dev/estandares/index.mdx,tecnico,estandares/index.mdx,false,low,ready,Abner Reyes,
content/dev/estandares/stack-tecnologico/_generated-versions.mdx,tecnico,estandares/stack-tecnologico/_generated-versions.mdx,true,low,ready,Auto-generated,Contenido generado; actualizar mediante su script de sincronización.
content/dev/estandares/stack-tecnologico/backend.mdx,tecnico,estandares/stack-tecnologico/backend.mdx,false,low,ready,Abner Reyes,
content/dev/estandares/stack-tecnologico/decisiones.mdx,tecnico,estandares/stack-tecnologico/decisiones.mdx,false,low,ready,Abner Reyes,
content/dev/estandares/stack-tecnologico/frontend.mdx,tecnico,estandares/stack-tecnologico/frontend.mdx,false,low,ready,Abner Reyes,
content/dev/estandares/stack-tecnologico/index.mdx,tecnico,estandares/stack-tecnologico/index.mdx,false,low,ready,Abner Reyes,
content/dev/estandares/stack-tecnologico/infraestructura.mdx,tecnico,estandares/stack-tecnologico/infraestructura.mdx,false,low,ready,Abner Reyes,
content/dev/estandares/stack-tecnologico/mobile.mdx,tecnico,estandares/stack-tecnologico/mobile.mdx,false,low,ready,Abner Reyes,
content/dev/estandares/stack-tecnologico/servicios.mdx,tecnico,estandares/stack-tecnologico/servicios.mdx,false,low,ready,Abner Reyes,
content/dev/index.mdx,tecnico,index.mdx,false,low,ready,Abner Reyes,
content/dev/testing/index.mdx,tecnico,testing/index.mdx,false,low,ready,Abner Reyes,
content/dev/testing/usuarios-prueba.mdx,tecnico,testing/usuarios-prueba.mdx,false,low,ready,Abner Reyes,
content/docs/autorizacion/contrato-canonico.mdx,tecnico,seguridad/autorizacion/contrato-canonico.mdx,false,low,ready,Abner Reyes,
content/docs/autorizacion/index.mdx,tecnico,seguridad/autorizacion/index.mdx,false,low,ready,Abner Reyes,
content/docs/autorizacion/matriz-rbac.mdx,tecnico,seguridad/autorizacion/matriz-rbac.mdx,false,low,ready,Abner Reyes,
content/docs/autorizacion/modelo.mdx,tecnico,seguridad/autorizacion/modelo.mdx,false,low,ready,Abner Reyes,
content/docs/autorizacion/permisos.mdx,tecnico,seguridad/autorizacion/permisos.mdx,false,low,ready,Abner Reyes,
content/docs/autorizacion/runtime.mdx,tecnico,seguridad/autorizacion/runtime.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/actividades-conjuntas.mdx,tecnico,producto/funcionalidades/actividades-conjuntas.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/actividades.mdx,tecnico,producto/funcionalidades/actividades.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/annual-folders-scoring.mdx,tecnico,producto/funcionalidades/annual-folders-scoring.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/aprobaciones-camporees.mdx,tecnico,producto/funcionalidades/aprobaciones-camporees.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/aprobaciones-masivas.mdx,tecnico,producto/funcionalidades/aprobaciones-masivas.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/audit-logs.mdx,tecnico,producto/funcionalidades/audit-logs.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/camporees.mdx,tecnico,producto/funcionalidades/camporees.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/carpetas-evidencias.mdx,tecnico,producto/funcionalidades/carpetas-evidencias.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/catalogos.mdx,tecnico,producto/funcionalidades/catalogos.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/certificaciones-guias-mayores.mdx,tecnico,producto/funcionalidades/certificaciones-guias-mayores.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/clases-progresivas.mdx,tecnico,producto/funcionalidades/clases-progresivas.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/comunicaciones.mdx,tecnico,producto/funcionalidades/comunicaciones.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/finanzas.mdx,tecnico,producto/funcionalidades/finanzas.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/gestion-clubs.mdx,tecnico,producto/funcionalidades/gestion-clubs.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/gestion-seguros.mdx,tecnico,producto/funcionalidades/gestion-seguros.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/honores.mdx,tecnico,producto/funcionalidades/honores.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/index.mdx,tecnico,producto/funcionalidades/index.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/inventario.mdx,tecnico,producto/funcionalidades/inventario.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/materiales.mdx,tecnico,producto/funcionalidades/materiales.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/rbac.mdx,tecnico,producto/funcionalidades/rbac.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/recursos.mdx,tecnico,producto/funcionalidades/recursos.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/sla-dashboard.mdx,tecnico,producto/funcionalidades/sla-dashboard.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/validacion-evidencias.mdx,tecnico,producto/funcionalidades/validacion-evidencias.mdx,false,low,ready,Abner Reyes,
content/docs/funcionalidades/validacion-investiduras.mdx,tecnico,producto/funcionalidades/validacion-investiduras.mdx,false,low,ready,Abner Reyes,
content/docs/fundamentos/arquitectura.mdx,tecnico,arquitectura/fundamentos/arquitectura.mdx,false,low,ready,Abner Reyes,
content/docs/fundamentos/decisiones-clave.mdx,tecnico,arquitectura/fundamentos/decisiones-clave.mdx,false,low,ready,Abner Reyes,
content/docs/fundamentos/dominio.mdx,tecnico,arquitectura/fundamentos/dominio.mdx,false,low,ready,Abner Reyes,
content/docs/fundamentos/identidad.mdx,tecnico,arquitectura/fundamentos/identidad.mdx,false,low,ready,Abner Reyes,
content/docs/fundamentos/index.mdx,tecnico,arquitectura/fundamentos/index.mdx,false,low,ready,Abner Reyes,
content/docs/fundamentos/runtime.mdx,tecnico,arquitectura/fundamentos/runtime.mdx,false,low,ready,Abner Reyes,
content/docs/fundamentos/source-of-truth.mdx,tecnico,arquitectura/fundamentos/source-of-truth.mdx,false,low,ready,Abner Reyes,
content/docs/guias/admin-integration.mdx,tecnico,guias/admin-integration.mdx,false,low,ready,Abner Reyes,
content/docs/guias/deployment.mdx,tecnico,guias/deployment.mdx,false,high,review,Abner Reyes,Revisar compatibilidad MDX antes de publicar.
content/docs/guias/developer-workflow.mdx,tecnico,guias/developer-workflow.mdx,false,low,ready,Abner Reyes,
content/docs/guias/idea-to-spec.mdx,tecnico,guias/idea-to-spec.mdx,false,low,ready,Abner Reyes,
content/docs/guias/index.mdx,tecnico,guias/index.mdx,false,low,ready,Abner Reyes,
content/docs/index.mdx,revisar,revisar/docs/index.mdx,false,low,review,Abner Reyes,Requiere clasificación editorial; no publicar automáticamente.
content/docs/sistema-de-diseno/componentes.mdx,tecnico,frontend/sistema-de-diseno/componentes.mdx,false,low,ready,Abner Reyes,
content/docs/sistema-de-diseno/dark-mode-y-responsive.mdx,tecnico,frontend/sistema-de-diseno/dark-mode-y-responsive.mdx,false,low,ready,Abner Reyes,
content/docs/sistema-de-diseno/estructura-archivos.mdx,tecnico,frontend/sistema-de-diseno/estructura-archivos.mdx,false,low,ready,Abner Reyes,
content/docs/sistema-de-diseno/formularios.mdx,tecnico,frontend/sistema-de-diseno/formularios.mdx,false,low,ready,Abner Reyes,
content/docs/sistema-de-diseno/index.mdx,tecnico,frontend/sistema-de-diseno/index.mdx,false,low,ready,Abner Reyes,
content/docs/sistema-de-diseno/patrones-crud.mdx,tecnico,frontend/sistema-de-diseno/patrones-crud.mdx,false,high,review,Abner Reyes,Revisar compatibilidad MDX antes de publicar.
content/docs/sistema-de-diseno/presentacion-datos.mdx,tecnico,frontend/sistema-de-diseno/presentacion-datos.mdx,false,low,ready,Abner Reyes,
content/docs/sistema-de-diseno/stack-y-paleta.mdx,tecnico,frontend/sistema-de-diseno/stack-y-paleta.mdx,false,high,review,Abner Reyes,Revisar compatibilidad MDX antes de publicar.
content/docs/sistema-de-diseno/tipografia-y-espaciado.mdx,tecnico,frontend/sistema-de-diseno/tipografia-y-espaciado.mdx,false,low,ready,Abner Reyes,
